Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,1.33E-17,-1,-0.025,0,0,0,12480,29123,-3.2792E-12,3.081E-13,16643,2.0419E-12,45760,0,0,0,0,0,0,package://Site/meshes/base_link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/base_link.STL,,地面-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
building_Link,-0.47375,0.28304,0.101,0,0,0,1661.4,60.8,-21.108,3.4672E-15,68.657,3.43E-15,118.38,0,0,0,0,0,0,package://Site/meshes/building_Link.STL,0.79216,0.81961,0.93333,1,0,0,0,0,0,0,package://Site/meshes/building_Link.STL,,信标-1,Origin_global,基准轴2,building,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
lawn_Link,-0.035001,-0.39569,0.0005,0,0,0,102.57,43.127,-1.9663,1.0267E-13,15.944,-9.9958E-14,59.071,0,0,0,0,0,0,package://Site/meshes/lawn_Link.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/lawn_Link.STL,,草坪-1;停车位-1,Origin_global,基准轴2,lawn,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
pole_Link1,0.0050484,0.85212,0.36027,0,0,0,5.964,0.079714,1.7921E-18,1.9896E-18,0.067579,1.1201E-17,0.066961,0,0,0,0,0,0,package://Site/meshes/pole_Link1.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/pole_Link1.STL,,信号架-十字-1,Origin_global,基准轴2,pole1,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link11,0.043825,-0.029016,-0.015507,0,0,0,2.9665,0.0022782,6.2745E-08,-8.8193E-08,0.0013273,-0.00010781,0.0026411,0,0,0,0,0,0,package://Site/meshes/camera_Link11.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link11.STL,,相机组件-15/摄像头-新-2;相机组件-15/摄像头前背壳-2-1;相机组件-15/摄像头背壳-2-1;相机组件-15/相机插槽座-3;相机组件-15/USB转接头-2;相机组件-15/灯罩-1;相机组件-15/信号灯-红-1;相机组件-15/信号灯-绿-1,Origin_camera11,,camera11,fixed,-0.019528,0.59561,0.41014,1.5708,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link12,0.043825,-0.029016,-0.015507,0,0,0,2.9665,0.0022782,6.2747E-08,-8.8198E-08,0.0013273,-0.00010781,0.0026411,0,0,0,0,0,0,package://Site/meshes/camera_Link12.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link12.STL,,相机组件-16/摄像头-新-2;相机组件-16/摄像头前背壳-2-1;相机组件-16/摄像头背壳-2-1;相机组件-16/相机插槽座-3;相机组件-16/USB转接头-2;相机组件-16/信号灯-红-1;相机组件-16/信号灯-绿-1;相机组件-16/灯罩-1,Origin_camera12,,camera12,fixed,-0.25078,0.87827,0.40988,1.5708,0,-1.5708,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link13,0.043825,-0.029016,-0.015507,0,0,0,2.9665,0.0022782,6.2759E-08,-8.8191E-08,0.0013273,-0.00010781,0.0026411,0,0,0,0,0,0,package://Site/meshes/camera_Link13.STL,0.52941,0.54902,0.54902,1,0,0,0,0,0,0,package://Site/meshes/camera_Link13.STL,,相机组件-1/摄像头-新-2;相机组件-1/摄像头前背壳-2-1;相机组件-1/摄像头背壳-2-1;相机组件-1/相机插槽座-3;相机组件-1/USB转接头-2;相机组件-1/信号灯-红-1;相机组件-1/信号灯-绿-1;相机组件-1/灯罩-1,Origin_camera13,,camera13,fixed,0.27007,0.81645,0.40895,1.5708,0,1.5708,pole_Link1,0,0,0,,,,,,,,,,,,
camera_Link14,0.0438252766612948,-0.0290160960099871,-0.0155072764923054,0,0,0,2.9664911618187,0.00227818595094952,6.27451277672504E-08,-8.81930983640949E-08,0.00132731703677126,-0.000107805199322781,0.00264105109701089,0,0,0,0,0,0,package://Site/meshes/camera_Link14.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link14.STL,,相机组件-2/摄像头-新-2;相机组件-2/摄像头前背壳-2-1;相机组件-2/摄像头背壳-2-1;相机组件-2/相机插槽座-3;相机组件-2/USB转接头-2;相机组件-2/灯罩-1;相机组件-2/信号灯-红-1;相机组件-2/信号灯-绿-1,Origin_camera14,,camera14,fixed,0.04189,1.1132,0.40873,1.5708,0,-3.1416,pole_Link1,0,0,0,,,,,,,,,,,,
RS_Lidar_16_Link_1,-0.716154162323716,0.2472,0.716154162323723,0,0,0,7393.55350963914,1437.34231642691,-2.06378302018876E-14,-615.194768531792,2396.20736896117,9.60627669272943E-14,1437.34231642692,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_1.STL,,激光雷达 RS-LiDAR-16-2,Origin_RS_Lidar_16_1,Axis_RS_Lidar_16_1,RS_Lidar_16_1,continuous,0.0050484,0.85212,0,1.5708,0,-0.0006631,pole_Link1,0,1,0,,,,,,,,,,,,
CPU_Link1,-1.73472347597681E-18,0.023,0,0,0,0,6.05475000000001,0.00895144331250001,2.43547735810993E-35,-7.54192281543497E-19,0.017079440625,-6.17990250986743E-20,0.0102633058125,0,0,0,0,0,0,package://Site/meshes/CPU_Link1.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/CPU_Link1.STL,,计算平台-2,Origin_CPU1,,CPU1,fixed,0.0052465,1.06,0.4747,1.5708,0,0,pole_Link1,0,0,0,,,,,,,,,,,,
pole_Link2,-1.66298552560336,-1.16558934125296,0.272855989302841,0,0,0,2.54130116480907,0.0216956936840439,-1.3059730251256E-10,1.44749478902649E-09,0.0498035616213382,1.58861262980916E-09,0.0317513462387992,0,0,0,0,0,0,package://Site/meshes/pole_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pole_Link2.STL,,信号架-2,Origin_global,基准轴2,pole2,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link2,0.0438252766612948,-0.0290160960099872,-0.0155072764923059,0,0,0,2.9664911618187,0.00227818595094951,6.27451277670271E-08,-8.8193098364266E-08,0.00132731703677125,-0.000107805199322781,0.00264105109701088,0,0,0,0,0,0,package://Site/meshes/camera_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link2.STL,,相机组件-14/摄像头-新-2;相机组件-14/摄像头前背壳-2-1;相机组件-14/摄像头背壳-2-1;相机组件-14/相机插槽座-3;相机组件-14/USB转接头-2;相机组件-14/信号灯-红-1;相机组件-14/信号灯-绿-1;相机组件-14/灯罩-1,Origin_camerra2,,camerra2,fixed,-1.5042,-1.1862,0.42881,1.5708,0,0,pole_Link2,0,0,0,,,,,,,,,,,,
Radar_Link2,0.00168514324992186,0.0154191890257049,-2.61569096045022E-05,0,0,0,3.09545763589521,0.00233952324153942,6.43560712854059E-06,5.7678092833293E-06,0.00726270749670219,-1.06274664763526E-06,0.00541858260532214,0,0,0,0,0,0,package://Site/meshes/Radar_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/Radar_Link2.STL,,毫米波雷达 ARS-408-21-2,Origin_Radar2,,Radar2,fixed,-1.482,-1.1758,0.50577,0,0,-3.1329,pole_Link2,0,0,0,,,,,,,,,,,,
CPU_Link2,0,0.023,0,0,0,0,6.05474999999999,0.00895144331249999,3.30342849429178E-19,3.63934576919076E-19,0.0170794406249999,-6.17990250986745E-20,0.0102633058125,0,0,0,0,0,0,package://Site/meshes/CPU_Link2.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/CPU_Link2.STL,,计算平台-3,Origin_CPU2,,CPU2,fixed,-1.2534,-1.1671,0.012167,1.5708,0,0,pole_Link2,0,0,0,,,,,,,,,,,,
pole_Link3,1.00398903567553,-0.239879473088964,0.22010421227609,0,0,0,2.00698309045887,0.0216511943934799,-2.64278402118106E-10,-6.46346631074938E-10,0.0214364747662529,1.26366532835461E-09,0.0033842830502478,0,0,0,0,0,0,package://Site/meshes/pole_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pole_Link3.STL,,信号架2-3,Origin_global,基准轴2,pole3,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
camera_Link3,-0.0174559514347683,0.028544003891087,0.00856989340741582,0,0,0,2.83520512559704,0.0022626909191116,6.27451277667084E-08,-8.81930983645461E-08,0.00131191144917134,-0.000107874310248531,0.00261649976507748,0,0,0,0,0,0,package://Site/meshes/camera_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link3.STL,,相机组件-13/信号灯-绿-1;相机组件-13/信号灯-红-1;相机组件-13/灯罩-1;相机组件-13/摄像头背壳-2-1;相机组件-13/摄像头前背壳-2-1;相机组件-13/相机插槽座-3;相机组件-13/USB转接头-2,Origin_camera3,,camera3,fixed,0.98224,-0.25916,0.36161,1.5708,0,3.1416,pole_Link3,0,0,0,,,,,,,,,,,,
Radar_Link3,0.00168514324992231,0.0154191890257048,-2.61569096043912E-05,0,0,0,3.09545763589522,0.00233952324153942,6.43560712858864E-06,5.76780928332912E-06,0.00726270749670221,-1.06274664763534E-06,0.00541858260532216,0,0,0,0,0,0,package://Site/meshes/Radar_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/Radar_Link3.STL,,毫米波雷达 ARS-408-21-1,Origin_Radar3,,Radar3,fixed,1.0019,-0.22928,0.50348,0,0,0,pole_Link3,0,0,0,,,,,,,,,,,,
CPU_Link3,-2.22044604925031E-16,0.023,0,0,0,0,6.05474999999999,0.00895144331249998,3.30342849429178E-19,1.53871056521315E-18,0.0170794406249999,5.71244006958292E-20,0.0102633058125,0,0,0,0,0,0,package://Site/meshes/CPU_Link3.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/CPU_Link3.STL,,计算平台-1,Origin_CPU3,,CPU3,fixed,1.2105,-0.23845,0.015141,1.5708,0,0,pole_Link3,0,0,0,,,,,,,,,,,,
pole_Link4,0.00409695000869178,-0.998789396125567,0.0350566037735899,0,0,0,0.690723723880237,0.00125872945270526,0.000102570169977189,7.69313516002613E-20,0.000579632374911888,3.09151337514613E-20,0.0010640617056055,0,0,0,0,0,0,package://Site/meshes/pole_Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pole_Link4.STL,,360-1/信号架3-1,Origin_global,基准轴2,pole4,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
RS_Lidar_16_Link_4,-0.71615416232377,0.242073684561551,0.71615416232367,0,0,0,7393.55350963914,1437.342316427,-1.58365529042722E-14,-615.194768531791,2396.20736896117,9.15393745473302E-14,1437.34231642683,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/RS_Lidar_16_Link_4.STL,,360-1/激光雷达 RS-LiDAR-16-1,Origin_RS_Lidar_16_4,Axis_RS_Lidar_16_4,RS_Lidar_16_4,continuous,0,-1,0,1.5708,0,0.14668,pole_Link4,0,1,0,,,,,,,,,,,,
camera_Link4,0.000598811409163069,0.0645304612231372,0.00422989196206797,0,0,0,3.64661960796415,0.00139584378822357,-5.01591250043808E-19,1.05709711817337E-18,0.00114909391442583,-4.09080563134678E-19,0.00139584378822357,0,0,0,0,0,0,package://Site/meshes/camera_Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/camera_Link4.STL,,360-1/相机模块-1/摄像头-新-2;360-1/相机模块-1/摄像头前背壳-2-1;360-1/相机模块-1/摄像头背壳-2-1;360-1/相机模块-1/相机插槽座-3;360-1/相机模块-1/USB转接头-2;360-1/相机模块-2/摄像头背壳-2-1;360-1/相机模块-2/摄像头前背壳-2-1;360-1/相机模块-2/摄像头-新-2;360-1/相机模块-2/相机插槽座-3;360-1/相机模块-2/USB转接头-2;360-1/相机模块-4/摄像头背壳-2-1;360-1/相机模块-4/摄像头前背壳-2-1;360-1/相机模块-4/摄像头-新-2;360-1/相机模块-4/相机插槽座-3;360-1/相机模块-4/USB转接头-2;360-1/相机模块-3/摄像头-新-2;360-1/相机模块-3/摄像头前背壳-2-1;360-1/相机模块-3/摄像头背壳-2-1;360-1/相机模块-3/相机插槽座-3;360-1/相机模块-3/USB转接头-2,Origin_camera4,Axis_camera4,camera4,continuous,0,-1,0.069838,1.5708,0,1.7175,pole_Link4,0,1,0,,,,,,,,,,,,
CPU_Link4,-5.55111512312578E-17,0.023,0,0,0,0,6.05475,0.00895144331249999,1.58221246811852E-33,6.12845147893172E-18,0.017079440625,-6.17990250986738E-20,0.0102633058125,0,0,0,0,0,0,package://Site/meshes/CPU_Link4.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/CPU_Link4.STL,,计算平台-4,Origin_CPU4,,CPU4,fixed,0.21258,-0.99062,0.00369,1.5708,0,0,pole_Link4,0,0,0,,,,,,,,,,,,
pillar_Link,0.00775673503764302,1.70795913509253,0.188421452183391,0,0,0,640.460641155592,8.47049489803464,-7.45815238967656E-15,1.66488853191607E-15,35.6601185511319,1.52318484353981E-15,30.5768288553375,0,0,0,0,0,0,package://Site/meshes/pillar_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/pillar_Link.STL,,高架立柱-1,Origin_global,基准轴2,pillar,fixed,0,0,0,0,0,0,base_link,0,0,0,,,,,,,,,,,,
overhead_Link,-0.434458299133697,1.45286339292765,0.322807860147149,0,0,0,635.067693626879,810.847284248711,-223.780967174228,6.1139702793818,740.765801766099,-49.6134074750207,1538.10463751846,0,0,0,0,0,0,package://Site/meshes/overhead_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/overhead_Link.STL,,高架路面-1,Origin_global,基准轴2,overhead,fixed,0,0,0,0,0,0,pillar_Link,0,0,0,,,,,,,,,,,,
bar_Link,-0.426616566503016,1.37270408838888,0.358987548531945,0,0,0,66.3264544887279,92.5143027110212,-23.5948908858286,0.771934827741348,79.5120405259755,-6.67681233172854,170.067426221949,0,0,0,0,0,0,package://Site/meshes/bar_Link.STL,0.529411764705882,0.549019607843137,0.549019607843137,1,0,0,0,0,0,0,package://Site/meshes/bar_Link.STL,,高架护栏-1,Origin_global,基准轴2,bar,fixed,0,0,0,0,0,0,overhead_Link,0,0,0,,,,,,,,,,,,
